j,10_palabras_mas_comunes
cat_1b01a8c,"bicicleta, velocimetro, velocidad, bryton, computadora, sensor, ant, bluetooth, cadencia, cuenta"
cat_1b03ddd,"cocina, papel, rollo, elegante, pack, rollos, paños, unidades, bobina, 200mts"
cat_1b0c9a2,"metro, adip, trena, plic, clínico, imc, corporal, digital, gordura, medidor"
cat_1b109d4,"tempera, 250gr, cromatico, pomo, pote, profesional, tintoretto, unidades, colores, maped"
cat_1b134c9,"ber, mosquiteiro, portátil, cama, bebe, cercadinho, tenda, azul, colch, com"
cat_1b14ac2,"randers, 100kg, abdominales, computa, ejercitador, elevacion, equipo, incl, magnetico, maquinas"
cat_1b21eb3,"alternador, er6n, junta, ninja, pezinho, sensor, tampa, triumph"
cat_1b32044,"ball, fichas, pool, servidores, tibia, milh, brinde, coins, gold, envio"
cat_1b32f66,"santo, antonio, corrim, extensao, montana, ant, l200, nio, triton, capota"
cat_1b50bf1,"fluido, isqueiro, kit, original, pavio, pedra, zippo"
cat_1b59b0c,"eléctrico, marcador, siap, temperatura, veglia"
cat_1b59ee3,"peniano, extensor, alongador, aumento, kit, nis, spray, alargador, anel, baralho"
cat_1b5f585,"cable, audio, rca, 5mm, adaptador, hdmi, jack, mp3, musica, plug"
cat_1b612b3,"schneck, cuartos, edulcorante, estación, grs, guillermina, hamburguesas, kilos, lebón, nueces"
cat_1b69125,"500kv, drone, emax, motor, rs08025"
cat_1b6c747,"kit, maquiagem, pincel, profissional, macrilan, pincéis, pinceis, com, pcs, estojo"
cat_1b75e13,"canales, cigüeñal, f100, ford, polea"
cat_1b80158,"slime, rodado, compresor, cuotas, escariador, 8oz, antipinchaduras, camara, combo, dos"
cat_1b80b3e,"giro, faro, delantero, faros, ambar, fiat, paragolpe, combo, delanteros, espejo"
cat_1b85ad6,"5mm, 8mm, harden, pinza, profesional, sacabocados"
cat_1b952b4,"pasta, fichário, com, cristal, universitário, divisórias, feminino, plástica, sanfonada, unidades"
cat_1ba64c3,"afeitadora, htc, barba, bigote, gillette, hombre, mach, recargable, repuesto, sensitive"
cat_1ba99be,"gaiola, arara, viveiro, azul, canário, curió, aves, mogno, pássaro, trinca"
cat_1bb9e60,"capot, colocacion, felpa, insonorisadora, manta, turno, warescar"
cat_1bc2b3a,"30kg, bindafix, ceramicos, pegamento, sika"
cat_1bd160d,"beef, jack, jerky, kit, protein, brindes, link, snack, 36g, links"
cat_1bd17f9,"acero, dispensador, doble, hogar, hotel, inoxidable, rega, repisa, toallero, abs"
cat_1bdfc3f,"bandolin, enc, r40, rouxinol"
cat_1be18ef,"monofasico, motor, rpm, abierto, eléctrico, interes, monofásico, motorreductor, sin, trifásico"
cat_1bf0cb8,"tenda, 3x3, gazebo, dobrável, praia, alumínio, barraca, camping, flex, mor"
cat_1bf56fd,"ajuste, cal, cintura, face, hyvent, neve, north, ski, tam, the"
cat_1bffdfb,"prato, natural, papel, 22cm, 23cm, 70un, acrílico, branco, colors, com"
cat_1c09a8c,"300ml, contatos, kit, limpa, orbi, química, spray, unidades"
cat_1c0a977,"lousa, vidro, 20x0, cor, incolor, med, preta, temperado"
cat_1c23509,"culinario, gourmet, portatil, regulagem, aricos, bettanin, borracha, cano, cozinha, fog"
cat_1c29099,"bota, cal, com, impermeável, jardineira, pvc, tipo, verde"
cat_1c2e464,"amoladora, angular, 115mm, skil, taladro, 700w, black, decker, kit, profesional"
cat_1c3e766,"campana, cocina, envio, envío, 100x70cm, baño, espejo, led"
cat_1c460b3,"chip, bios, cam, giratoria, grabadas, tpm, x10, x22"
cat_1c46136,"chevrolet, cristal, levanta, maquina, meriva, recambio, trasera"
cat_1c4830b,"leiteira, antiaderente, fortaleza, tampa, vidro, 12cm, alum, caneco, cereja, com"
cat_1c4a33e,"equilíbrio, jenga, jogo, junges, madeira, similar, torre"
cat_1c522fe,"100g, 150kg, balan, inmetro, mec, mic, micheletti, ncia, selo"
cat_1c54896,"confort, decorativa, encastrar, espatula, grillete, hilux, interior, l48, linea, roja"
cat_1c57b10,"46cm, abono, antena, autoinstalable, cuotas, directv, kit, prepago, sin"
cat_1c61fbe,"saco, plástico, transparente, adesivado, saquinho, 100un, zip, 30x40, plastico, 1000un"
cat_1c6ee0d,"placa, usb, notebook, a996p, bot, da0lg2tb6d0, dell, inspirion, nbx0001l400, original"
cat_1c7032d,"mangueira, jardim, metros, flexível, mágica, 30m, ada, tramontina, expansível, com"
cat_1c70465,"alicate, bico, longo, 11pol, 9rg, albatroz, curvo, dupla, eda, emborrachado"
cat_1c7373d,"macaco, hidráulico, toneladas, garrafa, jacarézinho, tipo, hidraulico, estepe, sparta, ferramentas"
cat_1c832e5,"traseiro, shimano, cambio, mbio, sgs, tourney, 21v, dianteiro, fire, kit"
cat_1c84db4,"delantero, fixed, fixie, paquetes, porta, portas, rack, racks"
cat_1c8744f,"electrico, gadnic, kit, regalo, sacacorchos, tapon, vacio, vino"
cat_1c87cc1,"leite, materno, armazenar, sacos, bb189, multikids, recipiente, saco, congelar, guardar"
cat_1c8c671,"pedal, cambio, marcha, cbx, twister, honda, modelo, retrátil, tornado, cb300"
cat_1c92e61,"panela, litros, tramontina, arola, tampa, antiaderente, press, kit, cabo, ferro"
cat_1ca168d,"flauta, bico, blazer, completa, gera, gnv, valtek, 16v, injetor, aranha"
cat_1cbc651,"110v, 220v, transformador, 1500w, 24v, 28v, elevador, emn, ferrawyy, modulo"
cat_1cbe475,"pintura, chalk, tiza, colores, acrilicas, bases, metalizada, profesional, 900cc, acrílica"
cat_1cc2f60,"crema, peinar, rizos, activador, anti, argan, cream, curl, frizz, moroccanoil"
cat_1cc8f6c,"estante, prato, bateria, cromado, g400, girafa, kit, loja, mellody, suporte"
cat_1ccb34c,"mesa, canto, lateral, mesinha, com, decorativa, vintage, apoio, fosca, mesas"
cat_1ccdbaf,"alargador, moldura, parachoque, lado, dianteira, direito, esquerdo, hilux, paralama, traseiro"
cat_1cce58b,"capacete, moto, pro, tork, preto, viseira, fechado, fosco, liberty, new"
cat_1cd5029,"228ml, aerosol, contact, contactos, eco, limpia, tronix"
cat_1ce29e4,"caja, actuadores, electricos, electro, kilos, libertango, lineales, medidor, monofasica, volts"
cat_1ce6a2e,"gazebo, 3x3, 6x3, 9x3, accesorios, alquiler, base, color, consultar, envio"
cat_1ce9760,"202cdd, atendimento, balc, bancada, caixa, com, expositor, fercar, gaveta, gavetas"
cat_1ced421,"philips, afeitadora, humedo, inalambrica, s1121, seco, uso, barba, shaver, corta"
cat_1d0167c,"radiador, reservatório, reservatorio, água, agua, tampa, com, picasso, original, xsara"
cat_1d0c44b,"agotar, cuero, ecologico, hasta, individual, mantel, oferta, stock"
cat_1d0fa67,"gravata, slim, gravatas, kit, semi, marsala, azul, com, fosco, padrinhos"
cat_1d10b00,"macetas, 3decofriendly, cactus, maceta, macetero, plant, portamaceta, robert, suculentas, altura"
cat_1d18d32,"baf, bfd, 50un, bocal, metro, modelos"
cat_1d34f82,"torques, cid, torqu, 33mm, 795kgf, alicate, armador, azulejista, casco, casqueamento"
cat_1d44c70,"água, filtro, caixa, cloro, refil, side, 12v, 400g, 90x90x25mm, adegas"
cat_1d54ca0,"abierta, cajas, carretes, cinta, dos, revox, vacías"
cat_1d55912,"110v, 220v, bivolt, carregador, fonte, psp, psvita, vita"
cat_1d589be,"100gph, bomba, centrifuga, motor, procon, sin, volumetrica"
cat_1d5af35,"kit, barro, apara, lameira, lameiro, parabarro, s10, alargador, protetor, com"
cat_1d5d961,"radiador, tampa, reservatório, água, agua, reservatorio, astra, civic, vectra, caixa"
cat_1d61c62,"kit, cuecas, boxer, box, microfibra, algod, atacado, cueca, lupo, estampadas"
cat_1d66b34,"organizador, bandeja, escritorio, metal, mini, papelera, oficina, apilable, armario, auto"
cat_1d6734e,"mdf, 30x42, 3mm, 6mm, chapa, composi, corte, cru, kit, laser"
cat_1d6f005,"bolas, juego, pool, taco, tizas, triangulo"
cat_1d71c2c,"mujer, chatita, cuero, zapato, chatitas, acolchada, caladas, confort, envio, goma"
cat_1d7f703,"gasolina, kombi, std, volkswagen"
cat_1d99295,"mp3, player, 8gb, cart, micro, ruizu, preto, 16gb, bluetooth, com"
cat_1d9f776,"hope, teodolito"
cat_1dcdfff,"sata, station, usb, dock, case, hdd, ide, clone, docking, fun"
cat_1dd2d26,"cama, red, elastica, elástica, protectora, metros, soulet, trampolin, athletic, mts"
cat_1ddc63a,"ferramentas, kit, jogo, cromado, piso, stanley, stmt81243, caixa, 110148mp, a20"
cat_1ddeec8,"aceite, bulbo, honda, moto, original, presion, sensor, sur, horquillon, ktm"
cat_1dea614,"carrito, colores, duravit, junior, supermercado, surtidos"
cat_1debb01,"adhesivo, ceramica, impermeable, kgs, klaukol, pegamento"
cat_1df0a5f,"kit, esmalte, esmaltes, gel, dailus, escolha, atacado, efeito, 8ml, nova"
cat_1dfa2be,"mesa, digitalizadora, wacom, black, one, huion, intuos, original, clt4100, ctl472l"
cat_1dfa5c4,"leitor, barras, código, usb, laser, bematech, cabo, fio, boleto, rs507"
cat_1dfcc72,"ferramentas, bolsa, lona, fundo, vonder, bolsos, borracha, mochila, profissional, ada"
cat_1dfd1f1,"trapp, 30t, 4rodas, cortador, grama, jogo, linha, roda, rodas"
cat_1e0b360,"carnes, magra, milanesa, picada, pollo, promo, varias"
cat_1e125ac,"pizarra, aluminio, blanca, 100x150, 90x120, blanco, carmica, cartelera, magnetica, pizarron"
cat_1e19401,"alforge, bolsa, mochila, moto, lateral, viagem, banco, chopper, com, givi"
cat_1e19868,"manopla, bike, mtb, bicicleta, com, punho, guid, espuma, silicone, 130mm"
cat_1e1ce57,"bolso, viaje, calidad, color, deportivo, diseño, grande, gym, mano, mediano"
cat_1e2b009,"repetidor, celular, amplificador, kit, 850mhz, aquário, rp860, vivo, 65db, ant"
cat_1e2ffac,"calefon, cobre, eternos, inyectado, james, lts, pcm, poliuretano"
cat_1e3c7b2,"antifaz, dormir"
cat_1e4bb27,"planchetta, acero, espátula, inoxidable, profesional, cervecera, combo, espatula, fact, pala"
cat_1e4e045,"adidas, campo, cancha, cosida, fútbol, mvd, pelota, sport"
cat_1e507b1,"pisca, lanterna, lente, retrovisor, par, seta, esquerdo, original, ambar, 416e"
cat_1e5541e,"321c, garantia, industrial, interloque, mesa, motor, singer"
cat_1e5af23,"athearn, locomotiva, amtrak, f59phi, northwest, rtr, santa, sd40"
cat_1e5ec56,"espátula, kit, espátulas, inox, bolos, cozinha, decorativas, reta, chapeiro, com"
cat_1e61a71,"bico, filtro, pura, mangueira, 100g, 360w, agro, alcool, bivolt, cada"
cat_1e6a9b0,"cadeira, praia, adeira, espregui, piscina, alumínio, posi, com, dobrável, reclinável"
cat_1e6b2bb,"abdominales, rueda, doble, wheel, fitness, banda, gym, elástica, fabricantes, gmp"
cat_1e701df,"alero, antorcha, autonomia, fuego, horas, jardin, lampara, led, puertas, solar"
cat_1e75b83,"caneleira, muay, thai, anat, canela, contender, kickboxing, mica, mma, pares"
cat_1e86ec0,"gel, pincel, uñas, art, dotting, nail, 56gr, acrilicas, builder, constuctor"
cat_1e9c693,"artesanal, corona, flores, led, luminosas, 12cm, alicia, corazones, galera, mini"
cat_1ea7f47,"traseira, tampa, amba, ate, fiorino, ford, hyundai, i30, n357, nova"
cat_1eae7ae,"25cm, 5mt, acetato, armar, berazategui, facial, lámina, máscara, 10unidades, cubrecara"
cat_1ec8dba,"inox, freio, animal, brid, cavalo, boca, burro, com, corre, dura"
cat_1eca167,"organizador, escobas, soporte, ganchos, cuelga, porta, escobero, ohmyshop, aluminio, florencia"
cat_1ecd75e,"bateria, joysticks, playstation, ps3"
cat_1edca35,"disfraz, vestido, disney, elsa, frozen, original, new, infantil, newtoys, toy"
cat_1ee2de0,"bal, bicos, compressor, inflador, bexigas, bomba, bexiga, elétrica, elétrico, 110v"
cat_1ee50bd,"manual, plaina, sparta, 230x52mm, metal, profissional, madeira, nivelador"
cat_1ef4be0,"blackout, cortina, cortinas, roller, calidad, colores, lumax, set, 140x220, delicado"
cat_1f11bfb,"bancada, biela, cojinetes, 1kd, 1kz, 2kd, fox, hilux, std, suran"
cat_1f1361e,"auricular, bluetooth, celulares, headset, microfono, play, ps3"
cat_1f16bda,"bacalhau, pedaleira, suporte, par, titan, apoio, original, direito, fan, 250r"
cat_1f36173,"caja, completa, pesca, kit, lineas, pescar, variada, accesorios, anzuelos, bolso"
cat_1f44b81,"campera, hombre, bike, casual, ciclismo, deportivo, hartl, id435, abrigo, escuderia"
cat_1f45df2,"7mm, branco, cabo, coaxial, fio, fixa, grampo, kit, rg59"
cat_1f4bebf,"rádio, a58, acústica, antena, ap4885, band, baofeng, caixa, caminhonete, cinturón"
cat_1f51617,"cooler, cuh, interno, ps4, 12xx, 20xx, 21xx, novo, original, slim"
cat_1f52d22,"eppendorf, microtubo, color, pino, tipo, cápsula, ext, inter"
cat_1f59552,"junta, tapa, valvula, aveo, bora, chevrolet, i6403, tdi, todos, valvulas"
cat_1f6050e,"alimentacion, balun, blindado, camara, conector, ficha, gabinetes, hembra, led, metalico"
cat_1f61d8b,"globos, globo, metalizados, helio, pulgadas, apto, decoracion, latex, negro, pack"
cat_1f64bfc,"diafragma, jetta, membrana, passat, tampa, tiguan, tsi, valvulas"
cat_1f77d9d,"silicone, utensílios, kit, colheres, concha, cozinha, jogo, vermelho, colher, pegador"
cat_1f7e5c6,"cajitas, preservativos, tulipán, control, retardante, surtidos"
cat_1f8aca8,"presentador, puntero, laser, logitech, 30m, diapositivas, inalambrico, inalámbrico, powerpoint, r400"
cat_1f92398,"500ml, almotolia, bico, curvo, frasco, líquidos"
cat_1f924ff,"libertadores, patch, américa, copa, flamengo, original, troféu"
cat_1f9ec59,"violino, acessórios, completo, afinador, arco, breu, case, dominante, eagle, espaleir"
cat_1fa3fb8,"exprimidor, electrico, jugo, peabody, ultracomb, eléctrico, cítricos, ec402, extractor, 25w"
cat_1fa6a12,"torneira, monocomando, banheiro, cascata, baixa, misturador, lavatório, alta, chuveiro, quadrada"
cat_1fa7ecb,"pasta, dente, suporte, dispenser, escovas, com, porta, automático, creme, dental"
cat_1fbf05f,"75cm, bambole, colapsável, com"
cat_1fc04d4,"lote, ropa, varon, invierno, largas, mangas, remeras, talle, buzos, grisino"
cat_1fc6780,"anos, brev, campagonolo, ferradura, freios, inter, par, speed"
cat_1fd91f9,"cartas, gitanas, tarot"
cat_1fdd8e7,"pastina, weber, 2kg, classic, blanca, bolsa, ceramica, habano, kilos, nieve"
cat_1fe0b43,"masajeador, facial, forever, limpiador, lina, recargable, usb, cera, mantra, soja"
cat_1feaf2d,"abrigo, perros, blanco, buzo, diseño, frisa, gatos, negro, sublimado, color"
cat_1fec493,"monitor, smartband, inteligente, pulseira, cardíaco, relógio, metro, ped, press, relogio"
cat_1fee7c5,"lixa, elétrica, unha, profissional, lixadeira, bloco, motor, bivolt, unhas, pés"
cat_1ffa47c,"guarda, roupa, portas, casal, espelho, com, correr, gavetas, madesa, solteiro"
cat_2014dec,"bikes, carbono, ceramic, comp, freno, patines, racer, shimano, vittoria"
cat_20171b2,"relógio, digital, fitbit, imagens, infantil, marshall, projeta, smartfit, smartwatch, w34"
cat_201eba7,"bluray, bdp, caja, cerrada, dvd, m9700, netflix, nuevos, reproductor, s1500"
cat_2021889,"pantufa, infantil, adulto, ricsen, chinelo, feminina, solado, promo, com, minnie"
cat_2024e45,"fonte, monitor, 19v, s22b300b, 14v, 20en33ss, 22mp55hq, 23mp55hq, 25gp, automaticamente"
cat_2025f68,"manta, cama, pie, cuadrada, cubresillon, estilo, flecos, lona, mano, mantel"
cat_202b546,"adhesivas, colegio, notas, oficina, organizador, trendy, utiles"
cat_202ba6c,"cilindro, junta, tapa, 16v, bulones, 9cc, acero, cal10, corteco, cruiser"
cat_203b02b,"cabo, flat, flex, joy, nintendo, switch"
cat_203c838,"bot, brasil, jogo, brinquedo, com, copa, futebol, infantil, times, 50x"
cat_204cd00,"camisa, masculina, manga, kit, longa, social, polo, camisas, prote, gola"
cat_20525f8,"kit, com, lembrancinha, mini, lembrancinhas, mdf, unidades, festa, casamento, personalizadas"
cat_2055808,"dolce, gusto, capsulas, gratis, envio, cajas, nespresso, caja, cápsulas, capsula"
cat_205aa15,"tampa, traseira, original, honda, chevette, civic, fox, hatch, malas, new"
cat_2061ce5,"biju, caixa, divisória, grande, manicure, organizador, plus"
cat_2072686,"oximetro, saturometro, pulso, adulto, estuche, oxigeno, curva, silfab, oxímetro, pediatrico"
cat_2078753,"arranque, ra1100, relé, solenoide, waveraider, yamaha"
cat_207cb2b,"tampa, válvula, air, anel, bengala, crf, dragstar, kit, oring, suspens"
cat_208395e,"cabelo, lacinho, lilica, ripilica, com, eva, infantil, kit"
cat_208f0cd,"bipap, cpap, anvisa, dreamstation, filtro, modelos, todos, traqueia, ultrafino, unidades"
cat_2091307,"box, cama, solteiro, base, baú, mola, casal, 138x188x40, 88x188x28, ada"
cat_2094997,"teleprompter, até, prompter, tele, gazprompt, lite, portátil, eyeview, lcd, led"
cat_2095f34,"16v, 4a800, abs, ano, b278, bomba, freio, hyundai, mobis, modulo"
cat_20976ed,"cintur, crossfit, muscula, academia, cinto, agachamento, até, celular, couro, impermeável"
cat_209a917,"engrampadora, metalica, grampas, clavadora, tapicero, valija, 13mm, alto, ancho, caja"
cat_20ab7f2,"caixa, ferramentas, gavetas, com, sanfonada, fercar, azul, baú, ferramenta, maleta"
cat_20bca38,"pele, bateria, caixa, coated, porosa, tom, abafador, couro, luen, polegadas"
cat_20c6079,"ball, puching, unidades"
cat_20c62db,"leque, techno, cigano, glitter, luxo, tecido"
cat_20c6989,"baleiro, com, tampa, bomboniere, giratório, gomos, plástica, prata, 24cm, brandon"
cat_20c9a4e,"muñecas, muebles, casa, casita, barbie, fibrofacil, envio, gratis, muñeca, accesorios"
cat_20cee71,"adesivo, bestway, cola, colch, escolas, fantoches, grande, infantil, intera, intex"
cat_20d0a31,"domicilio, envío, limpieza, oeste"
cat_20d3530,"agulhas, croch, kit, com, cabo, emborrachado, soft, acessórios, promo, estojo"
cat_20dd5b4,"impressora, 100ml, 1kg, aplicador, bico, c4813a, cabe, canon, capa, cuba"
cat_20e5c90,"conjunto, infantil, menino, beb, cal, blusa, camiseta, estiloso, inverno, juvenil"
cat_20edf47,"punta, 203mm, caña, crossmaster, media, pinza, alicate, irimo, pinzas, set"
cat_2110866,"tubos, zag, zig, armar, cigarrillos, papeles, rizla, tres"
cat_2113ba0,"camina, dinosaurio, grande, juguete, luces, sonido"
cat_211ae33,"tapete, banheiro, antiderrapante, kit, jogo, piso, com, box, atacado, promo"
cat_212f722,"bal, bexigas, brinde, buj, cilindro, gás, hélio, portátil"
cat_213f1ff,"acc, bandeja, cachorro, gato, lava, lavable, limpa, macho, maskot, patas"
cat_2142646,"benson, clarinete, cuotas, llaves, roy"
cat_2149cba,"mochila, isopor, entrega, pizza, bag, bolsa, delivery, motoboy, caixa, lanche"
cat_214ca97,"biela, pist, 16v, arla, cada, citroen, corolla, motor, peugeot, sem"
cat_21524e7,"clase, freezer, heladera, pcm, espejado, heladeras, inverter, james, lts, luxe"
cat_215ffdf,"roda, friso, refletivo, adesivo, faixa, parachoque, refletiva, caminh, fita, frisos"
cat_2183e60,"radiofrecuencia, equipos, arrugas, glow, mantra, antiarrugas, combo, corporal, diamante, diamond"
cat_218c530,"acupuntura, microagujas, 05mm, 0mm, cuerpo, derma, dermaroller, meso, mesoroller, roller"
cat_21975c2,"silicona, 30cm, manga, cotillón, cuidad, decoracion, picos, reposteria, unidad, boutique"
cat_2199e8a,"220v, aire, bolso, cilindros, colchon, compresor, electrico, envio, gratis, inflables"
cat_21a5885,"yerba, mate, sol, envio, gratis, orgánica, 500g, canarias, compuesta, grs"
cat_21a7b40,"imprimibles, personalizados, photo, props, unidades"
cat_21a8a01,"com, polegadas, proje, tela, telescópio, tripé"
cat_21aa5f6,"golf, golfer, gorra, mesh, performance, shop, the, titleist, tour"
cat_21ac14d,"cartucho, negro, original, combo, cartuchos, color, epson, alternativo, colores, tinta"
cat_21ac715,"oscilante, titan, ww3, amarelo, balanceiro, balancim, bra, bronzina, rolamentado, std"
cat_21c9e1a,"moldura, adhesiva, auto, bagueta, paragolpe, protector"
cat_21cd194,"barco, 52cc, 6mm, calibrada, carretinhas, corrente, din, elétrico, forte, gasolina"
cat_21d6373,"0mm, 10un, adaptador, apc, bluetooth, computador, cord, fibra, metros, nfe"
cat_21f08a1,"calza, running, fitness, mujer, art, cocot, dama, deportiva, faja, larga"
cat_21f1722,"placa, tablet, principal, samsung, t113nu, v170305, cce, motion, original, t935"
cat_21f2ee0,"som, caixas, mesa, monitor"
cat_21fe172,"lijadora, orbital, banda, skil, roto, madera, mano, 200w, lija, lijas"
cat_2202e69,"biombo, entrega, folhas, margaridas, mdf, pronta"
cat_2203321,"dvr, canales, dahua, full, 1080n, 1080p, 4ch, 5ch, audio, cctv"
cat_2216c2e,"kit, bambu, cozinha, 15cm, 4pcs, angelim, base, metal, palito, retro"
cat_2216e95,"sello, escolar, infantil, sellos, personalizado, automatico, lineas, microcentro, dibujo, almagro"
cat_221dbbf,"atego, axor, camión, fundas, mercedes"
cat_222be75,"inflador, pie, bicicleta, doble, giyo, manometro, medidor, 160psi, bici, manómetro"
cat_223b502,"led, proton, dmx, luz, par, rgb, tacho, big, dipper, lpc007"
cat_223e15a,"defensa, slider, cuadro, honda, protector, benelli, bmw, calidad, cb125, cubre"
cat_223fbb0,"cargadora, funda, iphone, plus, power, 5500mah, 8000mah, bank, bateria, case"
cat_224fffb,"cantil, com, caneca, ntk, alumínio, espiriteira, militar, trilha, água, 900ml"
cat_225b332,"saxofone, alto, complemento, completo, dourado, halk, janhke, mib, novo, chaves"
cat_227bc92,"20w, bivolt, bluetooth, caixa, multilaser, pilha, portátil, preta, radio, rms"
cat_22826c6,"bamp, baules, givi, group, kappa, kgr33, kit, laterales, lts, maletas"
cat_228843f,"relógio, smartwatch, band, xiaomi, inteligente, pulseira, watch, android, smart, original"
cat_228b582,"xarope, isabel, vovó, conservantes, free, maple, mrs, pura, saúde, sem"
cat_22920b4,"fusca, igni, kit, eletr, kombi, nica, brasilia, novo, bosch, cabo"
cat_22971a9,"molinillo, pimentero, madera, acero, muela, peugeot, pimienta, 20cm, 22cm, cerámica"
cat_2299fad,"fotosensible, mascara, soldar, careta, mig, soldadora, solar, femmto, lcd, lusqtoff"
cat_229b4d7,"caneta, iphone, stylus, ipad, tablet, fina, ponta, touch, samsung, screen"
cat_229f082,"paso, 3kg, alto, impresora, motor, muy, nema, torque"
cat_22afb9c,"carrinho, dobrável, feira, 80kg, bagagem, carga, com, exeway, madame, maleiro"
cat_22b5563,"control, remoto, universal, original, sony, direc, directo, directv, netflix, pilas"
cat_22bc7b5,"arquero, chupin, ergonomic, flexipant, pantalon, prostar"
cat_22be5fa,"dobrável, embarque, grande, mod, motos, rampa"
cat_22c891c,"pañales, 45x30, adiestramiento, basic, cachorros, entrenamiento, guard, home, pañal, paño"
cat_22c9394,"escaras, antiescaras, colchón, anti, autorizado, colchoneta, mangueras, msp, nuevo, parches"
cat_22caa75,"8012c, bicicleta, bulldog, candado, linga, moto, onguard"
cat_22d43a3,"brasero, leñero, 10mm, espesor, fogonero, 25x30cm, 25x40cm, braseros, descripcion, emparrillados"
cat_22d461e,"kit, led, fio, luminária, emerg, ncia, luminaria, lampada, sensor, sem"
cat_22dcc6a,"broche, prendedores, bras, brasil, bótom, folheado, franc, limoges, ouro, pim"
cat_22e1106,"microfibra, roup, adulto, camesa, caramelo, cores, unissex, varias"
cat_22e82a7,"drone, fpv, gps, black, dji, mavic, fly, mera, more, pro"
cat_2306564,"balan, bronze, conjunto, pesos"
cat_230a743,"jogo, americano, sousplat, redondo, unidades, mdf, tecido, bambu, capas, kit"
cat_23212a0,"smart, led, hdmi, usb, samsung, netflix, noblex, full, philco, wifi"
cat_2322238,"adherente, anti, antiadherente, ceramico, cerámica, colores, copper, dimm, olla, pan"
cat_232d793,"neodímio, forte, ima, super, bloco, trava, tudo, 4mm, n52, 50x50x25"
cat_2331e39,"homocineticas, kit, caddy, delantero, fiat, homocinetica, junta, polo, rulemanes, caja"
cat_2333603,"electrodos, estimulador, brazos, electroestimulador, muscular, reductor, gym, rusas, tens, abdominal"
cat_23352ec,"915mhz, lora, módulo, rfm95w"
cat_2337ce2,"condensador, distribuidor, ford, landau, maverick, mustang, platinado, sensor, vw1200"
cat_23427ed,"aerografo, automotivo, pintura, 90ml, pistola, retoque, barbearia, confeitaria, duplo, kit"
cat_2344660,"colores, estuche, lente, modelos, porta, varios"
cat_2346391,"pegador, carne, churrasco, fácil, giragrill, pega, pf40, bra, extensor, garra"
cat_2346dec,"gatos, pet, eliminador, herbalvet, litro, nia, odores, perigot, col, desinfetante"
cat_2347a85,"500ml, anti, antipombos, ecoatta, eficaz, espiculas, espículas, gatos, kit, policarbonato"
cat_235c4d0,"sunga, praia, adulto, até, bandeira, box, boxer, camisa, compress, cool"
cat_236a3d2,"dvd, original, blu, ray, lacrado, filme, dublado, box, dvds, legendado"
cat_237650f,"crudo, cuadrado, cuero, lazo, recado, tientos, trabajo"
cat_23769cd,"callaway, diablo, driver, funda, golf, nueva, octane, tour"
cat_237e2d0,"tela, display, touch, lcd, frontal, moto, original, cola, galaxy, motorola"
cat_2380985,"canon, cámara, estuche, mochila, nikon, viaje"
cat_2387a8e,"antioxidante, bactoferm, conatril, cozidos, cultura, cura, kit, sal, salame, salames"
cat_2387bc5,"bateria, fio, sem, telefone, vtech"
cat_238c059,"cable, video, bnc, cctv, mts, seguridad, alimentación, cámaras, 18m, alimtación"
cat_2396f0e,"1kg, coco, distribuidora, harina, lunic, polvo"
cat_239fe88,"carter, automatico, cambio, 16mm, 30v, arruela, audi, buj, city, cobre"
cat_23a4c36,"cama, mosquitero, anti, blanco, color, cubre, cuna, mosquitos, plaza, plazas"
cat_23a84b6,"trava, moto, manete, acelerador, antifurto, freio, punho, anti, com, tecklock"
cat_23a952d,"rádio, usb, radio, retro, portátil, vintage, aux, recarregável, recarregavel, bluetooth"
cat_23b2b3e,"suporte, placa, eliminador, rabeta, yamaha, fazer, original, honda, xj6, fixo"
cat_23b8c5c,"cartas, naipes, fournier, mazo, deslizante, españolas, madera, tapa, truquera, vitoria"
cat_23b8cb8,"aluminio, estribos, amarok, bepo, negro, pesado, colocados, jeep, juego, renegade"
cat_23c03d9,"practicuna, cuna, colchon, colecho, bolso, cambiador, bebe, megababy, moises, posiciones"
cat_23ccae1,"pipa, pipas, tabaco, vidrio, caja, madera, 15x3, acrílico, agua, argento"
cat_23cf592,"protetor, solar, fps, facial, airlicium, anthelios, roche, posay, 50g, cor"
cat_23d48f5,"cabo, embreagem, yamaha, fazer, original, dafra, moto, cbr, cbr1000, cod"
cat_23d8307,"sensor, alfa, bora, cigueñal, golf, romeo, rotacion, rpm, tdi"
cat_23dd380,"abc, 5kg, abcx5kg, baliza, habilitacion, matafuego, matafuegos, soporte, tarjeta, dps"
cat_23e5352,"barre, combo, corazon, empuñadura, estampada, hojas, metalico, metálica, moises, pala"
cat_23f4f9a,"menstrual, copa, copita, fleurity, maggacup, reutilizable, esterilizador, kit, aneer, distribuidor"
cat_23fdc7b,"cocina, monocomando, canilla, cromado, cromo, grifo, puelo, mezcladora, alta, conector"
cat_2413908,"canon, envio, eos, imediato, pesco, qualidade, ótima, com, dupla, engate"
cat_242eca3,"bari, bidet, completa, ferrum, grifería, monocomando"
cat_243214e,"cardiaca, faja, garmin, hrm, imp, oficial, tri, triatlon"
cat_2432606,"52cc, 80x20cm, broca, com, perfurador, solo, vps520, vulcan"
